date,disaster_type,id,location,severity_index,year,month,day,day_of_week
,DISASTER_TYPE,Incident_Count,Location,Severity_Index,,,,
2020-04-24,WIND_STORM,1,"DOMINASE,KYEIKROM,ASUMAUM",1,2020.0,4.0,24.0,4.0
2020-06-05,RAIN_STORM,1,PENSAN,1,2020.0,6.0,5.0,4.0
2020-06-14,FLOOD,1,MANSO AMENFI,1,2020.0,6.0,14.0,6.0
2020-01-14,FLOOD,1,ADENTIEM,1,2020.0,1.0,14.0,1.0
2020-04-11,FIRE,1,KWESIMINTSIM,1,2020.0,4.0,11.0,5.0
2020-04-14,FIRE,1,SARBON ZONGO,1,2020.0,4.0,14.0,1.0
2020-04-23,WIND_STORM,1,ZONGO,1,2020.0,4.0,23.0,3.0
2020-06-05,FIRE,1,APREMDO,1,2020.0,6.0,5.0,4.0
2020-08-24,MAN_MADE,1,EFFIA,1,2020.0,8.0,24.0,0.0
2020-10-13,FIRE,1,ABENBOBOM,1,2020.0,10.0,13.0,1.0
2020-11-09,FIRE,1,NEWSITE,1,2020.0,11.0,9.0,0.0
2021-02-18,WIND_STORM,1,AGONA NKWANTA,1,2021.0,2.0,18.0,3.0
2021-02-21,WIND_STORM,1,"KUBEKOR,NTAAKROM",1,2021.0,2.0,21.0,6.0
2021-03-23,WIND_STORM,1,APEMENIM,1,2021.0,3.0,23.0,1.0
2021-05-20,LIGHTNING,1,AGONA NKWANTA,1,2021.0,5.0,20.0,3.0
2021-07-16,FLOOD,1,ADJUMAKO MPATAASE,1,2021.0,7.0,16.0,4.0
2021-07-16,FLOOD,1,ABURA,1,2021.0,7.0,16.0,4.0
2021-07-16,FLOOD,1,GYABENEKROM,1,2021.0,7.0,16.0,4.0
2021-07-16,FLOOD,1,ASEMBA,1,2021.0,7.0,16.0,4.0
2021-07-16,FLOOD,1,ASEMKOW,1,2021.0,7.0,16.0,4.0
2021-07-16,FLOOD,1,EWUSIEJOE,1,2021.0,7.0,16.0,4.0
2021-07-16,FLOOD,1,MPAYINASA,1,2021.0,7.0,16.0,4.0
2021-07-16,FLOOD,1,AGONA NKWANTA,1,2021.0,7.0,16.0,4.0
2021-07-16,FLOOD,1,PRINCESS AKATAKYI,1,2021.0,7.0,16.0,4.0
2021-07-16,FLOOD,1,HOPOTO,1,2021.0,7.0,16.0,4.0
2021-07-16,FLOOD,1,AKETENCHI,1,2021.0,7.0,16.0,4.0
2021-07-16,FLOOD,1,FIATI,1,2021.0,7.0,16.0,4.0
2021-07-16,FLOOD,1,SANKOR,1,2021.0,7.0,16.0,4.0
2021-07-16,FLOOD,1,ABOADI,1,2021.0,7.0,16.0,4.0
2021-07-16,FLOOD,1,DUAHOROZO,1,2021.0,7.0,16.0,4.0
2021-11-15,TIDAL_WAVE,1,BUTRE,1,2021.0,11.0,15.0,0.0
2021-10-10,FLOOD,1,ENOE,1,2021.0,10.0,10.0,6.0
2021-01-03,WIND_STORM,1,MANSO,1,2021.0,1.0,3.0,6.0
2021-05-10,WIND_STORM,1,"K9,MANSO",1,2021.0,5.0,10.0,0.0
2021-06-10,WIND_STORM,1,MANSO,1,2021.0,6.0,10.0,3.0
2021-06-17,WIND_STORM,1,MANSO,1,2021.0,6.0,17.0,3.0
2021-07-16,FLOOD,1,MPOHOR,1,2021.0,7.0,16.0,4.0
2021-07-16,WIND_STORM,1,AYIEM,1,2021.0,7.0,16.0,4.0
2021-03-02,RAIN_STORM,1,WASSA AGONA,1,2021.0,3.0,2.0,1.0
2021-05-03,RAIN_STORM,1,"SUBRISO,AKOON NZEMAFOKROM,BANSO DOMEABRA",1,2021.0,5.0,3.0,0.0
2021-03-23,RAIN_STORM,1,"OLD TOWN,KWAMNAEKROM,ROMAN CATHOLIC SCHOOL",1,2021.0,3.0,23.0,1.0
2021-04-24,RAIN_STORM,1,BONSA,1,2021.0,4.0,24.0,5.0
2021-05-20,WIND_STORM,1,AKOON,1,2021.0,5.0,20.0,3.0
2021-05-20,WIND_STORM,1,CYANIDE,1,2021.0,5.0,20.0,3.0
2021-05-20,WIND_STORM,1,BRAHABEBOME,1,2021.0,5.0,20.0,3.0
2021-05-20,WIND_STORM,1,RAILWAY BANGALOW,1,2021.0,5.0,20.0,3.0
2021-05-20,WIND_STORM,1,ZONGO,1,2021.0,5.0,20.0,3.0
2021-05-20,WIND_STORM,1,BRENUAKYIM,1,2021.0,5.0,20.0,3.0
2021-06-16,WIND_STORM,1,TEBREBE,1,2021.0,6.0,16.0,2.0
2021-07-08,FLOOD,1,BRENUAKYIM,1,2021.0,7.0,8.0,3.0
2021-07-08,FLOOD,1,BRAHABEBOME,1,2021.0,7.0,8.0,3.0
2021-07-09,FLOOD,1,BANKYIM,1,2021.0,7.0,9.0,4.0
2021-08-09,FLOOD,1,AKYEMPIM,1,2021.0,8.0,9.0,0.0
2021-09-09,FLOOD,1,BRAHABEBOME,1,2021.0,9.0,9.0,3.0
2021-09-10,RAIN_STORM,1,DOMPIM-PEPESA,1,2021.0,9.0,10.0,4.0
2021-09-13,RAIN_STORM,1,ADIEWOSO,1,2021.0,9.0,13.0,0.0
2021-11-17,WIND_STORM,1,ANOMAKOKROM,1,2021.0,11.0,17.0,2.0
2021-12-01,RAIN_STORM,1,BUNG,1,2021.0,12.0,1.0,2.0
2021-12-01,RAIN_STORM,1,ADWOZE,1,2021.0,12.0,1.0,2.0
2021-12-10,FLOOD,1,ABUESI,1,2021.0,12.0,10.0,4.0
2021-12-10,FLOOD,1,ATWEREBOANDA,1,2021.0,12.0,10.0,4.0
2021-12-10,FLOOD,1,KPOKORKOPE,1,2021.0,12.0,10.0,4.0
2021-12-10,FLOOD,1,OHIAMAWEN,1,2021.0,12.0,10.0,4.0
2021-07-11,TIDAL_WAVE,1,ANLO BEACH,1,2021.0,7.0,11.0,6.0
2021-02-15,RAIN_STORM,1,SIKANEASEM,1,2021.0,2.0,15.0,0.0
2021-11-28,RAIN_STORM,1,NSEIN,1,2021.0,11.0,28.0,6.0
2021-03-22,WIND_STORM,1,AKPANDUE,1,2021.0,3.0,22.0,0.0
2021-03-24,WIND_STORM,1,"SANZULE,ANNORKYI,BASAKE,KAMBULI",1,2021.0,3.0,24.0,2.0
2021-06-21,FLOOD,1,AYINASI,1,2021.0,6.0,21.0,0.0
2021-07-14,FLOOD,1,ASANTA,1,2021.0,7.0,14.0,2.0
