Date,Disaster_Type,Severity,Location
2024-04-22,DOMESTIC FIRE,1,TAKORADI AMANFUL
2024-03-07,FLOOD,1,ESSIPONG
2024-04-07,FLOOD,1,KETAN
2024-04-07,FLOOD,1,BAKODO
2024-09-13,ROAD ACCIDENT,1,KANSAWORDO
2024-11-20,DOMESTIC FIRE,1,MPINTSIN
2024-12-30,DOMESTIC FIRE,1,YENSUADO
2024-05-12,DOMESTIC FIRE,1,BAKAKYIRE
2024-06-05,RAINSTORM,1,"EDELESUAZO,ANAGYE,EWUKU,EGUAFO,AGONA"
2022-01-23,COMMERCIAL FIRE,1,DIXCOVE
2022-06-21,FLOOD,1,"ASEMASA,AKATENCHIE,ACHOWAI,TIGARI,AHUNTUMAN"
2022-06-15,FLOOD,1,"APOWA, BEAHU, NEW AMANFUL, FUNKO, KEJEBIL"
2022-09-09,DOMESTIC FIRE,1,EWUSIEDJOE
2022-09-13,FLOOD,1,DAMTI
2022-09-24,FLOOD,1,BEAHU
2022-11-29,DOMESTIC FIRE,1,ADAANSE
2022-01-20,DOMESTIC FIRE,1,MPOHOR
2022-03-15,WINDSTORM,3,"MPOHOYABEW,OBRAYEBONA,TREBUO"
2022-03-16,WINDSTORM,1,OBRAYEBONA
2022-03-16,PEST INFESTATION,1,MPOHOR
2022-03-26,WINDSTORM,1,BANSO
2022-05-15,FLOOD,1,MPOHOR
2022-07-14,WINDSTORM,1,BANSO
2022-07-28,WINDSTORM,1,MANSO
2022-04-08,WINDSTORM,1,ADANSE
2022-01-25,DOMESTIC FIRE,1,ABUESI-BAKAEKYIR
2022-01-26,DOMESTIC FIRE,1,ABUESI COMPOUND
2022-03-21,ROAD ACCIDENT,1,ASEAMASA
2022-06-18,FLOOD,1,"INCHABAN,SHAMA JUNCTION,BEPOSO"
2022-12-08,DOMESTIC FIRE,1,NEW JERUSALEM
2022-08-28,COMMERCIAL FIRE,1,ABEASE
2022-03-03,COMMERCIAL FIRE,1,AIYINASI
2022-06-03,DOMESTIC FIRE,1,AIYINASI
2022-05-04,DOMESTIC FIRE,1,ANWIA
2022-08-04,RAINSTORM,1,"ASEMKO,KRISAN,NKROFUL,DADWEN,ASOMASE,BASEKE,SANTASO,BONSUKROM,ASANTA"
2022-04-20,DOMESTIC FIRE,1,EKWEI
2022-04-22,DOMESTIC FIRE,1,EKWEI
2022-05-18,DOMESTIC FIRE,1,ESIAMA
2022-04-06,RAINSTORM,1,TANDAN
2022-06-18,FLOOD,1,AKROPONG
2022-06-19,FLOOD,1,ADUBRIM
2022-08-27,DOMESTIC FIRE,1,ESIAMA
2022-08-27,DOMESTIC FIRE,1,NKROFUL
2022-09-20,DOMESTIC FIRE,1,NKROFUL
2022-07-01,DOMESTIC FIRE,1,TARKWA NA ABOSO
2022-03-28,WINDSTORM,1,DOMPIM
2022-05-06,MAN MADE,1,TARKWA BANSO
2022-06-05,DOMESTIC FIRE,1,AKOON
2022-06-06,DOMESTIC FIRE,1,DOMPIM
2022-06-21,LANDSLIDE,1,TEBEREBE JUNCTION
2022-08-08,MAN MADE,1,BONSA
2022-10-12,DOMESTIC FIRE,1,BENSO-NINGO
2022-10-27,DOMESTIC FIRE,1,BENSO-NEWSITE
2022-11-02,DOMESTIC FIRE,1,BRAHABEBOME
2022-11-20,DOMESTIC FIRE,1,NZEMALINE
2022-06-01,DOMESTIC FIRE,1,BONDAYE
2022-01-17,DOMESTIC FIRE,1,SANKOFA
2022-01-19,RAINSTORM,1,ABOSO
2022-01-30,DOMESTIC FIRE,1,ATITSO
2022-01-20,EXPLOSION,1,APPEATSE
2022-01-30,DOMESTIC FIRE,1,KRUTOWN
2022-04-08,RAINSTORM,1,APPIATSE
2022-05-02,DOMESTIC FIRE,1,DAMANG
2022-05-02,MAN MADE,1,APPIATSE
2022-06-25,DOMESTIC FIRE,1,ADJEIKROM
2023-07-10,DOMESTIC FIRE,1,BOGOSO
2023-10-16,MAN MADE,1,FANTI MINES SHAFT
2022-11-19,MAN MADE,1,BOGOSO
2022-02-19,WINDSTORM,1,WASSA MOSEASO
2022-02-19,RAINSTORM,1,"WASSA AKODAAKROM,AKROPONG, DAWURAMPONG,ADONNOE"
2022-02-19,DOMESTIC FIRE,1,WASSA AFRANSIE
2022-06-13,FLOOD,1,WASSA ANKYIASE
2022-06-14,FLOOD,1,WASSA BAWDIE
2022-06-15,FLOOD,1,WASSA ASUNDUA
2022-06-16,RAINSTORM,1,OPPONG VALLEY
2022-06-20,WINDSTORM,1,WASSA MAMEISO
2022-08-15,COMMERCIAL FIRE,1,PRESTEA NKWANTA
2022-09-28,FLOOD,1,"SALAMI,EDUCATION,HOSPITAL RIDGE,DWENASE"
