Date,disaster_type,Incident_Count,Location,Severity_Index
2020-11-09 00:00:00,DOMESTIC FIRE,1,NEWSITE,1
18/2/2021,WINDSTORM,1,AGONA NKWANTA,1
21/2/2021,WINDSTORM,1,"KUBEKOR,NTAAKROM",1
23/3/2021,WINDSTORM,1,APEMENIM,1
20/5/2021,LIGHTENING,1,AGONA NKWANTA,1
16/7/2021,FLOOD,1,ADJUMAKO MPATAASE,1
16/7/2021,FLOOD,1,ABURA,1
16/7/2021,FLOOD,1,GYABENEKROM,1
16/7/2021,FLOOD,1,ASEMBA,1
16/7/2021,FLOOD,1,ASEMKOW,1
16/7/2021,FLOOD,1,EWUSIEJOE,1
16/7/2021,FLOOD,1,MPAYINASA,1
16/7/2021,FLOOD,1,AGONA NKWANTA,1
16/7/2021,FLOOD,1,PRINCESS AKATAKYI,1
16/7/2021,FLOOD,1,HOPOTO,1
16/7/2021,FLOOD,1,AKETENCHI,1
16/7/2021,FLOOD,1,FIATI,1
16/7/2021,FLOOD,1,SANKOR,1
16/7/2021,FLOOD,1,ABOADI,1
16/7/2021,FLOOD,1,DUAHOROZO,1
15/11/2021,TIDAL WAVES,1,BUTRE,1
2021-10-10 00:00:00,FLOOD,1,ENOE,1
2021-01-03 00:00:00,WINDSTORM,1,MANSO,1
2021-05-10 00:00:00,WINDSTORM,1,"K9,MANSO",1
2021-06-10 00:00:00,WINDSTORM,1,MANSO,1
17/6/2021,WINDSTORM,1,MANSO,1
16/7/2021,FLOOD,1,MPOHOR,1
16/7/2021,WINDSTORM,1,AYIEM,1
2021-03-02 00:00:00,RAINSTORM,1,WASSA AGONA,1
2021-05-03 00:00:00,RAINSTORM,1,"SUBRISO,AKOON NZEMAFOKROM,BANSO DOMEABRA",1
23/3/2021,RAINSTORM,1,"OLD TOWN,KWAMNAEKROM,ROMAN CATHOLIC SCHOOL",1
24/4/2021,RAINSTORM,1,BONSA,1
20/5/2021,WINDSTORM,1,AKOON,1
20/5/2021,WINDSTORM,1,CYANIDE,1
20/5/2021,WINDSTORM,1,BRAHABEBOME,1
20/5/2021,WINDSTORM,1,RAILWAY BANGALOW,1
20/5/2021,WINDSTORM,1,ZONGO,1
20/5/2021,WINDSTORM,1,BRENUAKYIM,1
16/6/2021,WINDSTORM,1,TEBREBE,1
2021-07-08 00:00:00,FLOOD ,1,Brenuakyim,1
2021-07-08 00:00:00,FLOOD ,1,Brahabebome,1
2021-07-09 00:00:00,FLOOD ,1,Bankyim,1
2021-08-09 00:00:00,FLOOD ,1,Akyempim,1
2021-09-09 00:00:00,FLOOD ,1,Brahabebome,1
10/9/2021,RAINSTORM,1,Dompim-Pepesa,1
13/9/2021,RAINSTORM,1,Adiewoso,1
17/11/2021,WINDSTORM,1,ANOMAKOKROM,1
2021-12-01 00:00:00,RAINSTORM ,1,BUNG,1
2021-12-01 00:00:00,RAINSTORM ,1,ADWOZE,1
2021-12-10 00:00:00,FLOOD,1,ABUESI,1
2021-12-10 00:00:00,FLOOD,1,ATWEREBOANDA,1
2021-12-10 00:00:00,FLOOD,1,KPOKORKOPE,1
2021-12-10 00:00:00,FLOOD,1,OHIAMAWEN,1
2021-07-11 00:00:00,TIDAL WAVES,1,ANLO BEACH,1
15/2/2021,RAINSTORM,1,SIKANEASEM,1
28/11/2021,RAINSTORM,1,NSEIN,1
22/3/2021,WINDSTORM,1,AKPANDUE,1
24/3/2021,WINDSTORM,1,"SANZULE,ANNORKYI,BASAKE,KAMBULI",1
21/6/2021,FLOOD,1,AYINASI,1
14/7/2021,FLOOD,1,ASANTA,1
2021-04-10 00:00:00,PEST INFESTATION,1,"ASANTA,ASEMKO,OLD
BAKANTA,ESIAMA,EKWEI
",1
2021-06-11 00:00:00,DOMESTIC FIRE,1,ESIAMA,1
16/2/2021,RAINSTORM,1,APONTENKROM,1
2021-04-06 00:00:00,RAINSTORM,1,ANAKUM,1
2021-04-10 00:00:00,RAINSTORM,1,AGYADEN,1
2021-07-03 00:00:00,WINDSTORM,1,ESSAMANG,1
2021-10-03 00:00:00,WINDSTORM,1,"OLD SUBRI,BAASE",1
26/4/2021,WINDSTORM,1,ATEIKU,1
27/4/2021,WINDSTORM,1,ATEIKU OSENSO,1
2021-01-09 00:00:00,FLOOD,1,ATEIKU,1
26/04/2021,WINDSTORM,1,"BLOCKSO,ASANKRANGWA",1
15/6/2021,COMMERCIAL FIRE,1,ASIKAFO-ANBANTEM,1
