Date,disaster_type,Incident_Count,Location,Severity_Index
2020-01-07,DOMESTIC FIRE,1,BOBRAMA,1
2020-07-20,DOMESTIC FIRE,1,KIKAM,1
2020-08-18,DOMESTIC FIRE,1,NKROFUL,1
2020-12-09,COMMERCIAL FIRE,1,SANZULE EWE COMMUNITY,1
2020-10-14,DOMESTIC FIRE,1,NKROFUL,1
2020-01-18,WINDSTORM,1,NSUAEM . DOMPIM,1
2020-02-18,RAINSTORM,1,"NKAMPONASE,DOMPIM",1
2020-08-03,DOMESTIC FIRE,1,BENSO,1
2020-04-01,WINDSTORM,1,DOMPIM,1
2020-04-01,WINDSTORM,1,BENSO,1
2020-04-01,WINDSTORM,1,ADIEWOSO,1
2020-04-18,DOMESTIC FIRE,1,RAILWAY QTR,1
2020-04-26,FLOODING,1,ESSAMAN,1
2020-05-23,FLOODING,1,RAILWAY QTR,1
2020-05-25,DOMESTIC FIRE,1,NEW MANKESSIM,1
2020-05-27,COMMERCIAL FIRE,1,SIMPA,1
2020-07-14,DOMESTIC FIRE,1,AKOON,1
2020-05-08,COMMERCIAL FIRE,1,TARKWA,1
2020-10-08,COMMERCIAL FIRE,1,NZEMALINE,1
2020-04-09,COMMERCIAL FIRE,1,AKYEPIM,1
2020-10-06,MAN MADE,1,AKOON,1
2020-05-18,RAINSTORM,1,NSUOPUN,1
2020-05-20,RAINSTORM,1,ADANSE,1
2020-03-06,RAINSTORM,1,ESIAMA,1
2020-03-01,DOMESTIC FIRE,1,YEDIYESELE,1
2020-02-26,DOMESTIC FIRE,1,APATAIM,1
2020-05-03,DOMESTIC FIRE,1,TEBAKROM,1
2020-08-05,DOMESTIC FIRE,1,BAMIANKOR,1
2020-11-05,DOMESTIC FIRE,1,AXIM,1
2020-05-22,DOMESTIC FIRE,1,KEGYINA,1
2020-05-22,COMMERCIAL FIRE,1,AYISAKRO,1
2020-02-08,DOMESTIC FIRE,1,BOKAZO,1
2020-08-29,DOMESTIC FIRE,1,KEGYINA,1
2020-11-13,DOMESTIC FIRE,1,GWIRA BANSO,1
2020-02-20,WINDSTORM,1,ANTO KUBEKRO,1
2020-03-17,WINDSTORM,1,SEKYERE ABRODZERUM,1
2020-05-04,WINDSTORM,1,AKYEMPIM,1
2020-05-04,DOMESTIC FIRE,1,ATIEKU,1
2020-07-04,DOMESTIC FIRE,1,AKYEMPIM,1
2020-12-04,BUSH FIRE,1,JERUSALEM,1
5/8/202,DOMESTIC FIRE,1,BOKOKROM,1
2020-03-13,COMMERCIAL FIRE,1,ALLAN BEACH,1
2020-10-04,DOMESTIC FIRE,1,NEW TAKORADI,1
2020-07-07,DOMESTIC FIRE,1,NKROFUL NKWANTA,1
2020-07-18,DOMESTIC FIRE,1,KOJOKROM,1
2020-08-15,COMMERCIAL FIRE,1,TAKORADI,1
2020-08-25,COMMERCIAL FIRE,1,AMANFUL,1
2020-09-06,DOMESTIC FIRE,1,KANSAWORDO,1
2020-10-20,DOMESTIC FIRE,1,TAKORADI,1
2020-10-23,DOMESTIC FIRE,1,ZONGO,1
2020-10-28,DOMESTIC FIRE,1,MARKET,1
2020-11-08,DOMESTIC FIRE,1,TAKORADI NO.1,1
2020-11-19,DOMESTIC FIRE,1,SEKONDI,1
2020-11-28,FLOOD,1,"NTAKOFUL,KANSAWORDO,DIBENE",1
2020-01-04,RAINSTORM,1,ASANKRANGWA,1
2020-01-04,RAINSTORM,1,ASUOHYIAM,1
2020-01-04,RAINSTORM,1,SAMREBOI,1
2020-01-04,RAINSTORM,1,BREMAN,1
2020-01-04,RAINSTORM,1,MUMUNI,1
2020-01-04,RAINSTORM,1,PATAKORO,1
2020-01-04,RAINSTORM,1,ATOBRAKROM,1
2020-01-04,RAINSTORM,1,JAMESBOA,1
2020-01-04,RAINSTORM,1,GYAMAN,1
2020-01-04,RAINSTORM,1,SIKA NTI,1
2020-01-04,RAINSTORM,1,KWABENG,1
2020-01-04,RAINSTORM,1,ODAA AHENKRO,1
2020-01-04,RAINSTORM,1,MEMPEASEM,1
2020-11-05,FLOODING,1,ASUOHYIAM,1
2020-11-05,FLOODING,1,ATOBRAKROM,1
2020-07-27,DOMESTIC FIRE,1,AWORABO,1
2020-12-08,DOMESTIC FIRE,1,NEW TOWN,1
2020-03-18,COMMERCIAL FIRE,1,AGYEIKROM,1
2020-04-05,RAINSTORM,1,KROFROM,1
2020-04-09,MAN-MADE,1,ABOSO,1
2020-04-27,RAINSTORM,1,"GYIMAKROM,ADADEKROM",1
2020-04-30,MAN-MADE,1,ABOSO,1
2020-05-11,RAINSTORM,1,EHYIRESO,1
2020-05-18,RAINSTORM,1,BEPOH,1
2020-05-25,MAN-MADE,1,"DAMANG,DUMASI",1
31/2/2020,DOMESTIC FIRE,1,ELLOWULE,1
2020-02-20,DOMESTIC FIRE,1,EHOAKA,1
2020-03-22,DOMESTIC FIRE,1,ELUBO,1
2020-03-10,FLOOD,1,ELUBO,1
2020-03-14,RAINSTORM,1,HALF ASSIN,1
2020-04-01,RAINSTORM,1,"ANLOMATOUPE,HALF ASSINI,TAKINTA,ATWEBA, EDOBO,ELENDA,EFFASU,ENZINYI TIANU,BOAKWA",1
2020-04-25,DOMESTIC FIRE,1,AMANZULE NORTH,1
2020-06-17,DOMESTIC FIRE,1,EKEGYINA,1
2020-06-30,FLOOD,1,"OLD EDOBO,NEWEDOBO,ATWEBANSO",1
2020-01-07,FLOOD,1,OLD EDOBO,1
2020-02-07,FLOOD,1,NEW EDOBO,1
2020-03-07,FLOOD,1,ATWEBAN,1
2020-07-15,DOMESTIC FIRE,1,ALEWULE,1
2020-01-08,DOMESTIC FIRE,1,KABSUAZO,1
2020-02-08,DOMESTIC FIRE,1,JAWAY,1
2020-06-08,DOMESTIC FIRE,1,J/WHARF,1
2020-11-10,DOMESTIC FIRE,1,ESIAMA,1
2020-04-24,WINDSTORM,1,"DOMINASE,KYEIKROM,ASUMAUM",1
2020-06-05,RAINSTORM,1,PENSAN,1
2020-06-14,FLOOD,1,MANSO AMENFI,1
2020-01-14,FLOOD,1,ADENTIEM,1
2020-04-11,DOMESTIC FIRE,1,KWESIMINTSIM,1
2020-04-14,DOMESTIC FIRE,1,SARBON ZONGO,1
2020-04-23,WINDSTORM,1,ZONGO,1
2020-06-05,DOMESTIC FIRE,1,APREMDO,1
2020-08-24,MAN MADE,1,EFFIA,1
2020-10-13,DOMESTIC FIRE,1,ABENBOBOM,1
2020-11-09,DOMESTIC FIRE,1,NEWSITE,1
2021-02-18,WINDSTORM,1,AGONA NKWANTA,1
2021-02-21,WINDSTORM,1,"KUBEKOR,NTAAKROM",1
2021-03-23,WINDSTORM,1,APEMENIM,1
2021-05-20,LIGHTENING,1,AGONA NKWANTA,1
2021-07-16,FLOOD,1,ADJUMAKO MPATAASE,1
2021-07-16,FLOOD,1,ABURA,1
2021-07-16,FLOOD,1,GYABENEKROM,1
2021-07-16,FLOOD,1,ASEMBA,1
2021-07-16,FLOOD,1,ASEMKOW,1
